id,medicine_name,year,price

100,Ibuprofen,2002,300

101,Paracetamol,2005,150

102,Aspirin,1998,200

103,Amoxicillin,2010,450

104,Lisinopril,2007,600

105,Metformin,2003,250

106,Atorvastatin,2012,700

107,Omeprazole,2009,500

108,Simvastatin,2004,550

109,Losartan,2011,400

110,Levothyroxine,2006,350

111,Prednisone,2008,300

112,Albuterol,2015,450

113,Gabapentin,2013,600

114,Hydrochlorothiazide,2001,200

115,Metoprolol,2014,1500

116,Citalopram,2007,400

117,Sertraline,2016,550

118,Fluticasone,2018,700

119,Carvedilol,2009,450

120,Tramadol,2017,300

121,Diazepam,2003,250

122,Clonazepam,2010,400

123,Loratadine,2005,200

124,Fexofenadine,2019,350

125,Montelukast,2012,500

126,Pantoprazole,2014,1600

127,Ranitidine,2008,300

128,Cetirizine,2011,250

129,Esomeprazole,2016,700

130,Venlafaxine,2013,550

